Fire,SP,Group,Date,UTM1,UTM2,Bird1,Bird2,Bird3,Bird4,Bird5,Bird6,Bird7,Bird8
EARLY,POST,140,24-Jul-14,731258,8562738,FBF,FEA,YWB,AFY,GGE,,,
MAIN,POST,141,24-Jul-14,731039,8561738,YEW,AAA,,,,,,
MAIN,POST,142,25-Jul-14,730577,8559694,BAF,YFE,WEY,XXX,EXE,GYG,XAY,
MAIN,POST,143,25-Jul-14,730573,8559915,BAF,YFE,WEY,XXX,EXE,GYG,XAY,
MAIN,POST,144,26-Jul-14,730894,8562844,BWE,YBF,,,,,,
MAIN,POST,145,26-Jul-14,731225,8561518,YEW,AAA,WYW,,,,,
MAIN,POST,146,26-Jul-14,730919,8562827,BWE,YBF,,,,,,
MAIN,POST,147,26-Jul-14,731256,8561623,AAA,WFW,WYW,YEW,AWW,,,
MAIN,POST,148,26-Jul-14,731263,8560756,BAA,YYF,YFE,BWA,EGW,BBF,,
MAIN,POST,149,26-Jul-14,731675,8560991,AGF,WBW,GAG,XXY,GYW,,,
MAIN,POST,150,27-Jul-14,731142,8562160,AAY,EWE,FYA,,,,,
MAIN,POST,151,27-Jul-14,731267,8561506,YEW,AAA,WYW,,,,,
EARLY,POST,152,27-Jul-14,731185,8563272,FBF,FEA,YWB,AFY,GGE,,,
MAIN,POST,153,27-Jul-14,730907,8563322,EGE,AFF,EWW,,,,,
MAIN,POST,154,27-Jul-14,731778,8562387,EEB,GEG,GGA,EYF,,,,
MAIN,POST,155,28-Jul-14,731007,8562184,FYA,AAY,EWE,,,,,
MAIN,POST,156,29-Jul-14,730498,8559996,BAF,YFE,XXX,EXE,,,,
EARLY,POST,157,29-Jul-14,730846,8563274,AFF,EGE,EWW,,,,,
EARLY,POST,158,29-Jul-14,730912,8563248,AFF,EGE,EWW,,,,,
EARLY,POST,159,30-Jul-14,730890,8563238,AFF,EGE,,,,,,
MAIN,POST,160,31-Jul-14,731237,8561513,AAA,WYW,YEW,,,,,
