,Focal.Letter,Social.Partner,Treatment.Period,Group.ID.Populations,Treatment,num_interactions,ordered.pair.period,scans.where.at.least.1.seen,SRI
1868,KO,KT,2,T1,Treatment,1,KO_KT_2,47,0.021276596
1869,KO,KX,1,T1,Treatment,2,KO_KX_1,45,0.044444444
1870,KO,KZ,1,T1,Treatment,1,KO_KZ_1,47,0.021276596
1871,KO,KZ,2,T1,Treatment,1,KO_KZ_2,47,0.021276596
1872,KO,UA,1,T1,Treatment,3,KO_UA_1,45,0.066666667
1873,KO,UA,2,T1,Treatment,1,KO_UA_2,40,0.025
1874,KO,UD,1,T1,Treatment,1,KO_UD_1,46,0.02173913
1875,KO,UD,2,T1,Treatment,1,KO_UD_2,41,0.024390244
1876,KO,UH,1,T1,Treatment,2,KO_UH_1,46,0.043478261
1877,KO,UH,2,T1,Treatment,1,KO_UH_2,44,0.022727273
1878,KO,UL,1,T1,Treatment,1,KO_UL_1,41,0.024390244
1879,KO,UL,2,T1,Treatment,1,KO_UL_2,44,0.022727273
1880,KO,UM,1,T1,Treatment,4,KO_UM_1,43,0.093023256
1881,KO,UO,2,T1,Treatment,1,KO_UO_2,46,0.02173913
1882,KO,UT,1,T1,Treatment,3,KO_UT_1,46,0.065217391
1883,KO,UX,1,T1,Treatment,4,KO_UX_1,43,0.093023256
1884,KO,UZ,1,T1,Treatment,1,KO_UZ_1,45,0.022222222
1885,KO,UZ,2,T1,Treatment,1,KO_UZ_2,45,0.022222222
1886,KP,KH,2,T1,Treatment,1,KH_KP_2,47,0.021276596
1887,KP,KK,1,T1,Treatment,2,KK_KP_1,41,0.048780488
1888,KP,KK,2,T1,Treatment,2,KK_KP_2,45,0.044444444
1889,KP,KM,1,T1,Treatment,1,KM_KP_1,45,0.022222222
1890,KP,KO,1,T1,Treatment,1,KO_KP_1,45,0.022222222
1891,KP,KT,2,T1,Treatment,1,KP_KT_2,46,0.02173913
1892,KP,KX,1,T1,Treatment,1,KP_KX_1,45,0.022222222
1893,KP,KX,2,T1,Treatment,1,KP_KX_2,42,0.023809524
1894,KP,KZ,1,T1,Treatment,1,KP_KZ_1,46,0.02173913
1895,KP,UA,2,T1,Treatment,1,KP_UA_2,40,0.025
1896,KP,UC,1,T1,Treatment,1,KP_UC_1,45,0.022222222
1897,KP,UD,1,T1,Treatment,4,KP_UD_1,45,0.088888889
1898,KP,UH,1,T1,Treatment,2,KP_UH_1,44,0.045454545
1899,KP,UH,2,T1,Treatment,4,KP_UH_2,44,0.090909091
1900,KP,UL,1,T1,Treatment,4,KP_UL_1,43,0.093023256
1901,KP,UL,2,T1,Treatment,2,KP_UL_2,43,0.046511628
1902,KP,UM,1,T1,Treatment,2,KP_UM_1,44,0.045454545
1903,KP,UM,2,T1,Treatment,1,KP_UM_2,42,0.023809524
1904,KP,UO,1,T1,Treatment,1,KP_UO_1,45,0.022222222
1905,KP,UO,2,T1,Treatment,1,KP_UO_2,47,0.021276596
1906,KP,US,1,T1,Treatment,4,KP_US_1,42,0.095238095
1907,KP,US,2,T1,Treatment,1,KP_US_2,43,0.023255814
1908,KP,UT,1,T1,Treatment,1,KP_UT_1,43,0.023255814
1909,KP,UU,1,T1,Treatment,4,KP_UU_1,46,0.086956522
1910,KP,UU,2,T1,Treatment,1,KP_UU_2,44,0.022727273
1911,KP,UZ,1,T1,Treatment,1,KP_UZ_1,41,0.024390244
1912,KP,UZ,2,T1,Treatment,4,KP_UZ_2,46,0.086956522
1913,KS,KA,1,T1,Treatment,1,KA_KS_1,38,0.026315789
1914,KS,KC,1,T1,Treatment,1,KC_KS_1,42,0.023809524
1915,KS,KC,2,T1,Treatment,1,KC_KS_2,48,0.020833333
1916,KS,KM,1,T1,Treatment,1,KM_KS_1,46,0.02173913
1917,KS,KO,2,T1,Treatment,1,KO_KS_2,48,0.020833333
1918,KS,KT,1,T1,Treatment,1,KS_KT_1,46,0.02173913
1919,KS,KV,1,T1,Treatment,1,KS_KV_1,37,0.027027027
1920,KS,UA,1,T1,Treatment,1,KS_UA_1,41,0.024390244
1921,KS,UC,2,T1,Treatment,2,KS_UC_2,46,0.043478261
1922,KS,UD,1,T1,Treatment,1,KS_UD_1,40,0.025
1923,KS,UE,1,T1,Treatment,1,KS_UE_1,41,0.024390244
1924,KS,UH,1,T1,Treatment,4,KS_UH_1,39,0.102564103
1925,KS,UM,2,T1,Treatment,1,KS_UM_2,45,0.022222222
1926,KS,UO,2,T1,Treatment,2,KS_UO_2,47,0.042553191
1927,KS,UP,1,T1,Treatment,1,KS_UP_1,42,0.023809524
1928,KS,US,2,T1,Treatment,2,KS_US_2,47,0.042553191
1929,KS,UT,2,T1,Treatment,3,KS_UT_2,46,0.065217391
1930,KS,UU,1,T1,Treatment,6,KS_UU_1,44,0.136363636
1931,KS,UU,2,T1,Treatment,3,KS_UU_2,48,0.0625
1932,KS,UV,2,T1,Treatment,1,KS_UV_2,45,0.022222222
1933,KS,UX,1,T1,Treatment,1,KS_UX_1,40,0.025
1934,KS,UX,2,T1,Treatment,2,KS_UX_2,46,0.043478261
1935,KS,UZ,2,T1,Treatment,1,KS_UZ_2,47,0.021276596
1936,KT,KD,2,T1,Treatment,1,KD_KT_2,46,0.02173913
1937,KT,KE,2,T1,Treatment,1,KE_KT_2,46,0.02173913
1938,KT,KL,2,T1,Treatment,1,KL_KT_2,48,0.020833333
1939,KT,KM,1,T1,Treatment,1,KM_KT_1,47,0.021276596
1940,KT,KO,2,T1,Treatment,1,KO_KT_2,47,0.021276596
1941,KT,KP,2,T1,Treatment,1,KP_KT_2,46,0.02173913
1942,KT,KS,1,T1,Treatment,1,KS_KT_1,46,0.02173913
1943,KT,KV,2,T1,Treatment,2,KT_KV_2,43,0.046511628
1944,KT,KZ,2,T1,Treatment,1,KT_KZ_2,47,0.021276596
1945,KT,UA,1,T1,Treatment,1,KT_UA_1,47,0.021276596
1946,KT,UA,2,T1,Treatment,1,KT_UA_2,42,0.023809524
1947,KT,UC,1,T1,Treatment,2,KT_UC_1,47,0.042553191
1948,KT,UC,2,T1,Treatment,1,KT_UC_2,42,0.023809524
1949,KT,UD,1,T1,Treatment,1,KT_UD_1,47,0.021276596
1950,KT,UD,2,T1,Treatment,3,KT_UD_2,44,0.068181818
1951,KT,UE,2,T1,Treatment,1,KT_UE_2,46,0.02173913
1952,KT,UL,2,T1,Treatment,7,KT_UL_2,44,0.159090909
1953,KT,UM,1,T1,Treatment,1,KT_UM_1,46,0.02173913
1954,KT,UO,2,T1,Treatment,3,KT_UO_2,47,0.063829787
1955,KT,UP,1,T1,Treatment,11,KT_UP_1,45,0.244444444
1956,KT,UP,2,T1,Treatment,1,KT_UP_2,46,0.02173913
1957,KT,US,2,T1,Treatment,1,KT_US_2,45,0.022222222
1958,KT,UT,1,T1,Treatment,1,KT_UT_1,45,0.022222222
1959,KT,UT,2,T1,Treatment,1,KT_UT_2,48,0.020833333
1960,KT,UU,1,T1,Treatment,2,KT_UU_1,47,0.042553191
1961,KT,UU,2,T1,Treatment,1,KT_UU_2,46,0.02173913
1962,KT,UZ,1,T1,Treatment,1,KT_UZ_1,45,0.022222222
1963,KT,UZ,2,T1,Treatment,4,KT_UZ_2,46,0.086956522
1964,KV,KC,1,T1,Treatment,1,KC_KV_1,41,0.024390244
1965,KV,KH,1,T1,Treatment,1,KH_KV_1,39,0.025641026
1966,KV,KL,1,T1,Treatment,3,KL_KV_1,46,0.065217391
1967,KV,KM,2,T1,Treatment,2,KM_KV_2,47,0.042553191
1968,KV,KS,1,T1,Treatment,1,KS_KV_1,37,0.027027027
1969,KV,KT,2,T1,Treatment,2,KT_KV_2,43,0.046511628
1970,KV,KZ,1,T1,Treatment,1,KV_KZ_1,44,0.022727273
1971,KV,UC,1,T1,Treatment,2,KV_UC_1,39,0.051282051
1972,KV,UL,2,T1,Treatment,1,KV_UL_2,39,0.025641026
1973,KV,UM,1,T1,Treatment,4,KV_UM_1,34,0.117647059
1974,KV,UO,1,T1,Treatment,3,KV_UO_1,37,0.081081081
1975,KV,UO,2,T1,Treatment,4,KV_UO_2,45,0.088888889
1976,KV,UP,1,T1,Treatment,1,KV_UP_1,42,0.023809524
1977,KV,US,2,T1,Treatment,2,KV_US_2,41,0.048780488
1978,KV,UT,2,T1,Treatment,4,KV_UT_2,38,0.105263158
1979,KV,UV,1,T1,Treatment,3,KV_UV_1,32,0.09375
1980,KV,UX,1,T1,Treatment,2,KV_UX_1,35,0.057142857
1981,KV,UX,2,T1,Treatment,1,KV_UX_2,38,0.026315789
1982,KV,UZ,2,T1,Treatment,1,KV_UZ_2,40,0.025
1983,KX,KK,2,T1,Treatment,1,KK_KX_2,43,0.023255814
1984,KX,KL,2,T1,Treatment,1,KL_KX_2,47,0.021276596
1985,KX,KO,1,T1,Treatment,2,KO_KX_1,45,0.044444444
1986,KX,KP,1,T1,Treatment,1,KP_KX_1,45,0.022222222
1987,KX,KP,2,T1,Treatment,1,KP_KX_2,42,0.023809524
1988,KX,KZ,1,T1,Treatment,1,KX_KZ_1,45,0.022222222
