TREAMENT,TREATEMENT_PERIOD,NODE,DEGREE,DEGREE_NORMALIZED,EIGENVECTOR,CLOSENESS_CENTRALITY,BETWEENNESS_CENTRALITY
C3,2,EP,14,0.5,0.198966638,0.651162791,0.026438795
C3,2,ES,14,0.5,0.195518655,0.636363636,0.02094219
C3,2,EV,11,0.392857143,0.152726515,0.595744681,0.01396352
C3,2,OC,13,0.464285714,0.190575284,0.622222222,0.01382259
C3,2,OT,9,0.321428571,0.119708389,0.571428571,0.007587973
C3,2,OU,16,0.571428571,0.240876933,0.7,0.027483767
C3,2,OX,9,0.321428571,0.116829919,0.583333333,0.019790233
C3,2,EC,11,0.392857143,0.170066448,0.608695652,0.008266146
C3,2,OK,15,0.535714286,0.222205045,0.666666667,0.022627446
C3,2,OM,13,0.464285714,0.188984281,0.651162791,0.018533943
C3,2,OS,16,0.571428571,0.232260124,0.7,0.031027644
C3,2,OZ,15,0.535714286,0.220156065,0.682926829,0.085422213
C3,2,OH,18,0.642857143,0.262560634,0.736842105,0.037323567
C3,2,EE,3,0.107142857,0.03118318,0.459016393,0.001322751
C3,2,ET,10,0.357142857,0.156390604,0.608695652,0.027507266
C3,2,OO,12,0.428571429,0.154834762,0.622222222,0.037610567
C3,2,EU,14,0.5,0.205866477,0.666666667,0.023474475
C3,2,EX,12,0.428571429,0.179742368,0.622222222,0.009435465
C3,2,EZ,17,0.607142857,0.250186441,0.717948718,0.035833897
C3,2,OA,9,0.321428571,0.130190097,0.583333333,0.006303903
C3,2,OL,17,0.607142857,0.252071716,0.717948718,0.034853381
C3,2,OD,4,0.142857143,0.068717554,0.5,0
C3,2,OP,6,0.214285714,0.104590731,0.538461538,0.000791647
C3,2,OV,1,0.035714286,0.016037884,0.411764706,0
C4,1,HA,11,0.379310345,0.21541968,0.617021277,0.02828582
C4,1,HC,10,0.344827586,0.217574083,0.591836735,0.010443248
C4,1,HH,11,0.379310345,0.214734095,0.591836735,0.030370632
