Focal.Letter.ID,TubPeriod,node,strength,betweenness,Clustering coefficient ,Period,Treatment,Sex,Tub,Elytra,Number of observations
LE,T2_1,4,1.72082893,1,0.34086291,1,T,M,T2,7.441,42
LE,T2_2,4,1.95491811,0,0.783763041,2,T,M,T2,7.441,26
LH,T2_1,5,2.062319808,8,0.465168509,1,T,M,T2,6.83,38
LH,T2_2,5,3.039606475,13,0.423338592,2,T,M,T2,6.83,40
LK,T2_1,6,2.08868378,6,0.593963839,1,T,M,T2,7.111,39
LK,T2_2,6,3.87537857,21,0.582824886,2,T,M,T2,7.111,34
LL,T2_1,7,2.62922104,14,0.540733031,1,T,M,T2,6.974,40
LL,T2_2,7,3.223744907,10,0.495888865,2,T,M,T2,6.974,38
LO,T2_1,8,2.803458908,1,0.493631502,1,T,M,T2,7.244,42
LO,T2_2,8,3.074920184,1,0.514672406,2,T,M,T2,7.244,42
LP,T2_1,9,1.940987745,0,0.582497969,1,T,M,T2,6.669,36
LP,T2_2,9,1.739806076,0,0.755461395,2,T,M,T2,6.669,31
LS,T2_1,10,3.025887265,4,0.479745299,1,T,M,T2,6.381,29
LS,T2_2,10,3.5766828,15,0.569762842,2,T,M,T2,6.381,29
LT,T2_1,11,2.043828316,0,0.599562086,1,T,M,T2,5.916,40
LT,T2_2,11,3.236449463,4,0.606367099,2,T,M,T2,5.916,37
LU,T2_1,12,1.977137298,17,0.512892997,1,T,M,T2,6.858,34
LU,T2_2,12,4.701721623,35,0.523548386,2,T,M,T2,6.858,38
LV,T2_1,13,4.939790005,111,0.436949976,1,T,M,T2,6.833,43
LV,T2_2,13,3.687068904,30,0.504234925,2,T,M,T2,6.833,35
LX,T2_1,14,3.317058354,9,0.536861119,1,T,M,T2,7.392,43
LX,T2_2,14,2.763907451,10,0.44666625,2,T,M,T2,7.392,43
LZ,T2_1,15,3.266623734,59,0.532697648,1,T,M,T2,5.999,37
LZ,T2_2,15,2.17970016,1,0.519444559,2,T,M,T2,5.999,36
MA,T2_1,16,2.233895162,0,0.543565209,1,T,F,T2,6.693,23
MA,T2_2,16,1.755637447,1,0.565851166,2,T,F,T2,6.693,33
MC,T2_1,17,1.794412215,0,0.646665824,1,T,F,T2,6.033,33
MC,T2_2,17,1.078502592,0,0.370530334,2,T,F,T2,6.033,27
MD,T2_1,18,3.234288148,34,0.489077262,1,T,F,T2,7.081,35
MD,T2_2,18,3.695956611,29,0.609330398,2,T,F,T2,7.081,22
ME,T2_1,19,4.668195382,119,0.522701566,1,T,F,T2,5.898,37
ME,T2_2,19,3.117189648,15,0.575644778,2,T,F,T2,5.898,33
MH,T2_1,20,1.008066039,8,0.854213181,1,T,F,T2,7.001,24
MH,T2_2,20,2.572620022,0,0.625679589,2,T,F,T2,7.001,22
MK,T2_1,21,1.908711967,3,0.551368029,1,T,F,T2,7.352,28
MK,T2_2,21,3.506654668,8,0.540400576,2,T,F,T2,7.352,32
MM,T2_1,22,1.702246068,15,0.610197576,1,T,F,T2,6.759,21
MM,T2_2,22,3.816650921,28.5,0.566765058,2,T,F,T2,6.759,36
MO,T2_1,23,1.239463151,0,0.28474689,1,T,F,T2,6.992,22
MO,T2_2,23,3.424848842,8,0.536839743,2,T,F,T2,6.992,23
MP,T2_1,24,1.390097859,2,0.555202486,1,T,F,T2,7.062,19
MP,T2_2,24,2.362590449,8,0.782297491,2,T,F,T2,7.062,30
MS,T2_1,25,2.310087492,5,0.473561579,1,T,F,T2,6.537,26
MS,T2_2,25,3.257878486,8,0.468815133,2,T,F,T2,6.537,32
